Ünvan	İl	Telefon	e-Posta
İDEA Teknoloji Çözümleri Bilgisayar San. ve Ticaret Anonim Şirketi	İstanbul	(212) 276 56 76	info@ideateknoloji.com.tr
Mebitech Bilişim A.Ş.	İstanbul	444 4 865	info@mebitech.com
VERİBAN Elektronik Veri İşleme ve Saklama Hizmetleri A.Ş.	İstanbul	(212) 340 65 00	info@veriban.com.tr
UYUMSOFT Bilgi Sistemleri ve Teknolojileri Ticaret Anonim Şirketi	İstanbul	(212) 467 33 33	efatura@uyumsoft.com.tr
LOGO YAZILIM SANAYİ VE TİCARET ANONİM ŞİRKETİ	Kocaeli	(262) 679 80 00	info@elogo.com.tr
BİZOFİS Bilgi Teknolojileri ve Yönetim Danışmanlık Hizmetleri Ticaret Limited Şirketi	İstanbul	(212) 212 18 98 (Pbx)	e-fatura@bizofis.com
İZİBİZ Bilişim Teknolojileri Anonim Şirketi	İstanbul	(216) 222 00 00	info@izibiz.com.tr
SABANCI DİJİTAL TEKNOLOJİ HİZMETLERİ ANONİM ŞİRKETİ	İstanbul	(216) 425 10 50	efatura@sabancidx.com
TÜRKKEP Kayıtlı Elektronik Posta Hizmetleri Sanayi Ve Ticaret Anonim Şirketi	İstanbul	(850) 470 05 37	destek@turkkep.com.tr
İNNOVA Bilişim Çözümleri Anonim Şirketi	İstanbul	(212) 329 70 00	info@innova.com.tr
TÜRK Telekomünikasyon Anonim Şirketi	Ankara	444 1 444	iletisim@turktelekom.com.tr
MİKRO Yazılımevi Yazılım Hizmetleri Bilgisayar ve Sanayi Ticaret A.Ş.	İstanbul	(216) 472 84 00 (Pbx)	info@mikro.com.tr
QNB ESOLUTIONS ELEKTRONİK TİCARET VE BİLİŞİM HİZMETLERİ A.Ş.	İstanbul	(850) 250 67 50	info@qnbesolutions.com.tr
İŞNET Elektronik Bilgi Üretim Dağıtım Ticaret ve İletişim Hizmetleri A.Ş.	İstanbul	(850) 290 90 90	efaturadestek@nettefatura.com
EDM Bilişim Sistemleri ve Danışmanlık Hizmetleri A.Ş.	İstanbul	(850) 723 63 36	bilgi@edmbilisim.com.tr
NES BULUT YAZILIM TİCARET LİMİTED ŞİRKETİ	İstanbul	02166885100	info@nesbilgi.com.tr
SNI Teknoloji Hizmetleri A.Ş.	İstanbul	(212) 438 04 73	contact@snitechnology.net
FIT BİLGİ İŞLEM SİSTEMLERİ SERV. SAN. VE TİC. A.Ş. (SOVOS)	İstanbul	(850) 733 28 87	bilgi@sovos.com
PROTEL Bilgisayar Anonim Şirketi	İstanbul	(212) 355 00 00	edonusum@protel.com.tr
İNTECON Bilişim ve Danışmanlık Hizmetleri Tic. Ltd.Şti.	İstanbul	(216) 314 08 06	info@intecon.com.tr
DETAY DANIŞMANLIK BİLGİSAYAR HİZMETLERİ SANAYİ VE DIŞ TİCARET ANONİM ŞİRKETİ	İstanbul	(216) 443 13 29	efatura@detaysoft.com
Ayasofyazılım Bilişim Anonim Şirketi	Kocaeli	(850) 532 32 32	info@ayasofyazilim.com
ePlatform Bulut Bilişim Anonim Şirketi (Turkcell e-Şirket)	İstanbul	(216) 977 70 00	info@ePlatform.com.tr
NetBT Danışmanlık Hizmetleri Anonim Şirketi	İstanbul	(216) 688 48 03	ozelentegrator@net-bt.com.tr
CRSSOFT Yazılım Hizmetleri Anonim Şirketi	İstanbul	(212) 489 33 13	efatura@crssoft.com
VBT YAZILIM ANONİM ŞİRKETİ	İstanbul	(216) 577 69 21	ozelentegrator@vbt.com.tr
G-Yazılım Bilgisayar Teknolojileri Danışmanlık ve Organizasyon Reklam İnşaat Sanayi Ticaret Limited Şirketi	Ankara	(312) 480 23 44	bilgi@gyazilim.com
Hitit Bilgisayar Hizmetleri A.Ş.	İstanbul	(212) 276 15 00	sales@hititcs.com
KOLAYSOFT TEKNOLOJİ A.Ş.	Ankara	(850) 259 90 90	info@kolaysoft.com.tr
ÖDEAL TEKNOLOJİ A.Ş.	İstanbul	(212) 280 81 15	efatura@ode.al
BTC Bilişim Hizmetleri Anonim Şirketi	İstanbul	(216) 575 45 90	contact@btc-ag.com.tr
Zirve Bilgi Teknolojileri Medikal Turizm Sanayi Ticaret Limited Şirketi	Ankara	(312) 473 28 00	entegrator@zirveyazilim.net
DOĞAN E DÖNÜŞÜM HİZMETLERİ ANONİM ŞİRKETİ	İstanbul	(212) 222 86 22	info@doganedonusum.com
AVALARA TURKEY BİLİŞİM LİMİTED ŞİRKETİ	İzmir	(232) 369 19 44	info@inposia.com
VEGAGRUP YAZILIM VE BİLİŞİM TEKNOLOJİLERİ TİCARET ANONİM ŞİRKETİ	Ankara	(850) 346 94 94	entegrator@vegayazilim.com.tr
MİKROKOM BİLGİ TEKNOLOJİLERİ ANONİM ŞİRKETİ	Ankara	(312) 215 15 10	entegrator@mikrokomdonusum.com
BİEN TEKNOLOJİ ANONİM ŞİRKETİ	Ankara	(850) 532 74 71	entegrator@bienteknoloji.com.tr
ICE BİLİŞİM TEKNOLOJİLERİ ANONİM ŞİRKET	İstanbul	(216) 589 89 02	info@ıceteknoloji.com.tr
SMART DÖNÜŞÜM TEKNOLOJİ ANONİM ŞİRKETİ	Ankara	(850) 259 90 90	entegrator@smartdonusum.com
MBT E DÖNÜŞÜM TEKNOLOJİLERİ ANONİM ŞİRKETİ	Ankara	(850) 308 06 28	info@mbtteknoloji.com.tr
PARK ENTEGRASYON E DÖNÜŞÜM VE BİLİŞİM HİZMETLERİ A.Ş.	İstanbul	(212) 322 3 777	info@parkentegrasyon.com.tr
DİA YAZILIM SANAYİ VE TİCARET A.Ş.	Ankara	(312) 210 00 90	edevlet@dia.com.tr
SANKONLİNE İNTERNET HİZMETLERİ VE YATIRIM ANONİM ŞİRKETİ	Gaziantep	(342) 211 30 00	efatura@sankonline.net
ELPO Bilişim Otomasyon Elektronik Pompa Sistemleri ve Petrol Sanayi Ticaret LTD.ŞTİ.	Konya	(850) 532 07 24	entegrator@elpo.com.tr
HIZLI BİLİŞİM TEKNOLOJİLERİ A.Ş.	Adana	(322) 248 12 22	info@hizliteknoloji.com.tr
SUPERONLINE İLETİŞİM HİZMETLERİ A.Ş.	İstanbul	(850) 222 76 76	INFO-EFATURA@turkcell.com.tr
UYUMSOFT KURUMSAL İŞ SİSTEMLERİ VE TEKNOLOJİLERİ A.Ş.	İstanbul	(212) 467 33 33	edonusum@uyum.com.tr
Ticari1 Teknoloji Anonim Şirketi	İstanbul	(212) 212 42 32	info@ticari1.com
ARD GRUP BİLİŞİM TEKNOLOJİLERİ ANONİM ŞİRKETİ	Ankara	(312) 299 25 95	info@ardgrup.com.tr
IDECON DANIŞMANLIK HİZMETLERİ ANONİM ŞİRKETİ	İstanbul	(850) 888 0 433	info@idecon.com.tr
Farmakom Eczane Bilgisayar Hiz. San. Ve Tic. A.Ş.	Ankara	(312) 495 00 95	entegrator@farmakom.com.tr
UNİVERA BİLGİSAYAR SİSTEMLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ	İzmir	(232) 445 94 70	edonusum@univera.com.tr
DEVATEK BİLGİ TEKNOLOJİLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ	İstanbul	(216) 807 08 08	edonusum@devatek.com
ERCİYES ANADOLU HOLDİNG ANONİM ŞİRKETİ	Kayseri	(352) 207 18 00	efatura@erciyes.com
MYSOFT DİJİTAL DÖNÜŞÜM A.Ş.	İstanbul	(212) 901 02 12	info@mysoft.com.tr
MİMSOFT ARGE ARŞİVLEME TEKNOLOJİLERİ ANONİM ŞİRKETİ	İstanbul	(212) 909 97 27	bilgi@mimsoft.com.tr
Pavo Finansal Teknoloji Çözümleri A.Ş.	İstanbul	(850) 611 04 44	edonusumdestek@pavo.com.tr
BirFatura Yazılım Teknolojileri A.Ş.	Ankara	(850) 303 32 96	entegrator@birfatura.com
TOKEN Finansal Teknolojiler Anonim Şirketi	İstanbul	(212) 942 88 88	ebelge-info@tokeninc.com
TÜRMOB-TESMER EĞİTİM YAYIN VE YAZILIM HİZMETLERİ İKTİSADİ İŞLETMESİ	Ankara	(312) 987 06 06	entegratordestek@luca.com.tr
TOLASOFT Yazılım A.Ş. (Süper Entegratör)	İstanbul	(216) 288 07 78	info@superentegrator.com
İLEKA AKADEMİ EĞİTİM DANIŞMANLIK VE MESLEKİ YETERLİLİK BELGELENDİRME A.Ş (TÜRKBELGE)	İzmir	(850) 333 0 353	info@turkbelge.com.tr
10.Bölge Antalya Eczacı Odası İktisadi İşletmesi	Antalya	(242) 311 03 29	info@eczfatura.com
Vadi Kurumsal Bilgi Sistemleri A.Ş.	İstanbul	(212) 483 74 00	edonusum@vadi.com.tr
GENESİS YAPAY ZEKA TEKNOLOJİLERİ ANONİM ŞİRKETİ	İstanbul	(212) 932 82 00	info@gai.com.tr
UBL TEKNOLOJİ ANONİM ŞİRKETİ	Ankara	(850) 259 92 92	info@ubl.com.tr
WORLDLİNE ÖDEME SİSTEM ÇÖZÜMLERİ ANONİM ŞİRKETİ	İstanbul	(212) 366 48 00	dl-tr.ebelge.destek@worldline.com
MİRA TEKNOLOJİ ANONİM ŞİRKETİ	Ankara	(312) 472 50 10	efatura@miraerp.com
Finalizer Bilişim Teknolojileri Anonim Şirketi	İstanbul	(212) 967 25 34	edonusum@finalizer.com.tr
NİLVERA YAZILIM VE BİLİŞİM HİZMETLERİ TİC. LTD. ŞTİ.	Kayseri	(850) 251 40 10	info@nilvera.com
PROJE TURIZM DANIŞMANLIK ve BİLGİSAYAR HİZMETLERİ LTD.ŞTİ.	Ankara	(850) 202 04 96	info@etapi.com.tr
POS Perakende Otomasyon Sistemleri Ticaret Ve Sanayi A.Ş.	İstanbul	(216) 464 03 23	ebelge@toshibagcs.com
IAS Dijital Dönüşüm Teknolojileri ve Ticaret A.Ş.	İstanbul	444 22 65	edonusum@iasentegrator.com
E POZİTİF İLERİ TEKNOLOJİ A.Ş.	İstanbul	(216) 540 34 20	edonusum@epozitif.com
ODAKSOFT TEKNOLOJİ BİLİŞİM A.Ş.	Ankara	(850) 308 63 25	edonusum@odaksoft.com.tr
DSM E-DÖNÜŞÜM VE BİLİŞİM HİZMETLERİ ANONİM ŞİRKETİ	İstanbul	(212) 331 32 50	info@trendyolefaturam.com
RTC Teknoloji Anonim Şirketi	İstanbul	(216) 576 63 88	contact@rtcsuite.com
Eanship Teknoloji Anonim Şirketi	İstanbul	(850) 733 91 52	info@eanship.com
BYM YAZILIM SANAYİ VE TİCARET A.Ş.	Sakarya	(850) 480 02 96	info@bymyazilim.com.tr
